id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,city,state,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,first_review,last_review,date_listed
4520099,"Seattle, Washington, United States",within an hour,86,82,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,80.0,500.0,2400.0,,65.0,2,4,2015-01-04,2015-07-25,2016-01-04
2481869,"Seattle, Washington, United States",within an hour,78,89,t,Queen Anne,6.0,6.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,175.0,1000.0,3200.0,,40.0,2,38,2014-05-01,2015-10-11,2016-03-09
1110749,"Seattle, Washington, United States",within a few hours,92,79,f,Queen Anne,9.0,9.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,6,1.5,3.0,3.0,Real Bed,325.0,2275.0,9750.0,500.0,100.0,2,68,2013-06-15,2015-12-21,2016-09-28
5978498,"Seattle, Washington, United States",within a day,88,87,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,4,3.0,3.0,2.0,Real Bed,175.0,699.0,2388.0,200.0,80.0,4,8,2015-07-06,2015-12-03,2016-06-17
5021081,US,within an hour,89,94,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,7,3.5,4.0,3.0,Real Bed,222.0,1325.0,4650.0,500.0,250.0,2,5,2015-08-07,2015-11-12,2016-12-22
1686930,US,within an hour,83,79,f,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews']",t,f,Seattle,WA,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,159.0,1113.0,4770.0,250.0,99.0,1,62,2013-10-08,2015-12-07,2016-06-27
7680289,"Kirkland, Washington, United States",within an hour,75,99,f,Queen Anne,2.0,2.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,125.0,800.0,2700.0,,50.0,2,19,2015-08-27,2015-11-29,2016-04-15
7207641,"Seattle, Washington, United States",within a day,99,92,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,8,3.0,3.0,3.0,Real Bed,348.0,2500.0,10440.0,750.0,150.0,3,5,2015-08-04,2015-09-03,2016-07-12
5062445,"Seattle, Washington, United States",a few days or more,95,94,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f,Seattle,WA,House,Private room,1,1.0,1.0,1.0,Futon,45.0,450.0,1500.0,,,1,7,2015-05-17,2015-12-08,2016-01-19
8925878,"Kirkland, Washington, United States",within an hour,89,79,f,Queen Anne,2.0,2.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,150.0,950.0,2950.0,,50.0,2,2,2015-10-25,2015-12-18,2016-09-09
6389657,"Seattle, Washington, United States",within a few hours,88,73,t,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,80.0,560.0,2400.0,,20.0,3,11,2015-07-22,2015-08-19,2016-04-25
4218733,"Seattle, Washington, United States",within an hour,73,99,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,110.0,770.0,3300.0,100.0,40.0,2,71,2014-10-09,2016-01-01,2016-11-30
2715623,"Seattle, Washington, United States",within a few hours,75,91,f,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,148.0,1036.0,4440.0,,100.0,3,9,2014-06-02,2015-10-29,2016-12-31
1392332,"Seattle, Washington, United States",,98,83,f,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,350.0,2100.0,10500.0,500.0,100.0,2,41,2013-07-29,2015-07-31,2016-08-11
7308567,"Seattle, Washington, United States",within an hour,87,75,t,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,3,1.5,1.0,2.0,Real Bed,150.0,1050.0,4500.0,,50.0,2,18,2015-07-28,2015-12-31,2016-08-15
6575380,"Seattle, Washington, United States",within a day,75,95,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,5,1.0,1.0,1.0,Real Bed,150.0,540.0,1911.0,,,1,9,2015-08-22,2015-09-20,2016-03-17
6004058,"Seattle, Washington, United States",within a day,86,88,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,2,1.0,0.0,1.0,Futon,100.0,700.0,3000.0,,,1,20,2015-04-18,2016-01-02,2016-04-07
